"Année";"Pays de résidence";"Droit de cité";"Sexe - total Classe d'âge - total";"Sexe - total 0-17 ans";"Sexe - total 18-64 ans";"Sexe - total 65 ans ou plus";"Homme Classe d'âge - total";"Homme 0-17 ans";"Homme 18-64 ans";"Homme 65 ans ou plus";"Femme Classe d'âge - total";"Femme 0-17 ans";"Femme 18-64 ans";"Femme 65 ans ou plus"
"2019";"Pays de résidence - total";"Droit de cité - total";770871;163760;439275;167836;352445;83863;204599;63983;418426;79897;234676;103853
"2019";"* Pays et territoires de l'UE";"Droit de cité - total";465067;98158;263961;102948;204689;50209;119044;35436;260378;47949;144917;67512
"2019";"* Pays et territoires de l'AELE";"Droit de cité - total";6397;1419;3881;1097;3002;735;1805;462;3395;684;2076;635
"2019";"* Autres pays de l'Europe";"Droit de cité - total";12793;2996;6868;2929;6171;1479;3177;1515;6622;1517;3691;1414
"2019";"* Pays hors Europe";"Droit de cité - total";286614;61187;164565;60862;138583;31440;80573;26570;148031;29747;83992;34292
"2019";"- Europe";"Droit de cité - total";482427;102177;273643;106607;213027;52228;123549;37250;269400;49949;150094;69357
"2019";">> 8201 Albanie";"Droit de cité - total";71;19;44;8;37;11;20;6;34;8;24;2
"2019";">> 8202 Andorre";"Droit de cité - total";92;15;46;31;46;7;26;13;46;8;20;18
"2019";">> 8204 Belgique";"Droit de cité - total";8067;1879;4640;1548;3506;944;2095;467;4561;935;2545;1081
"2019";">> 8205 Bulgarie";"Droit de cité - total";302;55;158;89;165;30;83;52;137;25;75;37
"2019";">> 8206 Danemark";"Droit de cité - total";3312;652;2007;653;1519;315;1010;194;1793;337;997;459
"2019";">> 8207 Allemagne";"Droit de cité - total";92239;20116;52858;19265;39988;10352;23740;5896;52251;9764;29118;13369
"2019";">> 8210 Îles Féroé";"Droit de cité - total";13;0;10;3;3;0;3;0;10;0;7;3
"2019";">> 8211 Finlande";"Droit de cité - total";1799;350;1068;381;852;183;557;112;947;167;511;269
"2019";">> 8212 France";"Droit de cité - total";198346;42342;112347;43657;89909;21628;51782;16499;108437;20714;60565;27158
"2019";">> 8213 Gibraltar";"Droit de cité - total";65;21;20;24;38;11;13;14;27;10;7;10
"2019";">> 8214 Grèce";"Droit de cité - total";2824;549;1607;668;1127;273;642;212;1697;276;965;456
"2019";">> 8215 Royaume-Uni";"Droit de cité - total";36597;8666;22334;5597;15762;4418;10040;1304;20835;4248;12294;4293
"2019";">> 8216 Irlande";"Droit de cité - total";1643;353;1069;221;695;173;448;74;948;180;621;147
"2019";">> 8217 Islande";"Droit de cité - total";185;71;103;11;92;43;46;3;93;28;57;8
"2019";">> 8218 Italie";"Droit de cité - total";49833;9640;28129;12064;20064;4906;11698;3460;29769;4734;16431;8604
"2019";">> 8222 Liechtenstein";"Droit de cité - total";3565;765;2150;650;1669;374;978;317;1896;391;1172;333
"2019";">> 8223 Luxembourg";"Droit de cité - total";1320;359;751;210;591;173;350;68;729;186;401;142
"2019";">> 8224 Malte";"Droit de cité - total";317;48;189;80;156;25;93;38;161;23;96;42
"2019";">> 8225 Île de Man";"Droit de cité - total";45;11;31;3;21;6;15;0;24;5;16;3
"2019";">> 8226 Monaco";"Droit de cité - total";1158;166;542;450;588;81;297;210;570;85;245;240
"2019";">> 8227 Pays-Bas";"Droit de cité - total";8279;1609;5205;1465;3528;862;2281;385;4751;747;2924;1080
"2019";">> 8228 Norvège";"Droit de cité - total";2640;583;1621;436;1237;318;777;142;1403;265;844;294
"2019";">> 8229 Autriche";"Droit de cité - total";16707;3831;9585;3291;7046;1951;4246;849;9661;1880;5339;2442
"2019";">> 8230 Pologne";"Droit de cité - total";897;216;439;242;452;112;238;102;445;104;201;140
"2019";">> 8231 Portugal";"Droit de cité - total";4420;592;2466;1362;2019;297;1066;656;2401;295;1400;706
"2019";">> 8232 Roumanie";"Droit de cité - total";568;147;296;125;333;82;175;76;235;65;121;49
"2019";">> 8233 Saint-Marin";"Droit de cité - total";23;6;13;4;6;2;2;2;17;4;11;2
"2019";">> 8234 Suède";"Droit de cité - total";5985;1267;3607;1111;2789;659;1739;391;3196;608;1868;720
"2019";">> 8236 Espagne";"Droit de cité - total";24227;4237;12178;7812;10543;2185;5328;3030;13684;2052;6850;4782
"2019";">> 8237 Açores";"Droit de cité - total";0;0;0;0;0;0;0;0;0;0;0;0
"2019";">> 8239 Turquie";"Droit de cité - total";4863;1375;2846;642;2191;702;1168;321;2672;673;1678;321
"2019";">> 8240 Hongrie";"Droit de cité - total";2062;216;714;1132;1012;105;341;566;1050;111;373;566
"2019";">> 8241 Cité du Vatican";"Droit de cité - total";133;19;111;3;114;5;107;2;19;14;4;1
"2019";">> 8242 Chypre";"Droit de cité - total";444;87;230;127;222;55;109;58;222;32;121;69
"2019";">> 8243 Slovaquie";"Droit de cité - total";367;73;127;167;202;30;65;107;165;43;62;60
"2019";">> 8244 Tchéquie";"Droit de cité - total";1459;248;509;702;773;135;263;375;686;113;246;327
"2019";">> 8248 Serbie";"Droit de cité - total";2544;424;1078;1042;1210;204;462;544;1334;220;616;498
"2019";">> 8250 Croatie";"Droit de cité - total";1397;253;621;523;643;127;258;258;754;126;363;265
"2019";">> 8251 Slovénie";"Droit de cité - total";445;68;137;240;206;36;66;104;239;32;71;136
"2019";">> 8252 Bosnie et Herzégovine";"Droit de cité - total";815;129;420;266;403;61;183;159;412;68;237;107
"2019";">> 8254 Monténégro";"Droit de cité - total";109;22;41;46;57;12;20;25;52;10;21;21
"2019";">> 8255 Macédoine du Nord";"Droit de cité - total";391;102;222;67;192;48;104;40;199;54;118;27
"2019";">> 8256 Kosovo";"Droit de cité - total";478;196;253;29;252;97;131;24;226;99;122;5
"2019";">> 8260 Estonie";"Droit de cité - total";71;28;36;7;42;13;24;5;29;15;12;2
"2019";">> 8261 Lettonie";"Droit de cité - total";80;27;48;5;49;15;30;4;31;12;18;1
"2019";">> 8262 Lituanie";"Droit de cité - total";38;12;18;8;24;3;14;7;14;9;4;1
"2019";">> 8263 Moldova";"Droit de cité - total";27;10;15;2;15;4;9;2;12;6;6;0
"2019";">> 8264 Russie";"Droit de cité - total";695;223;418;54;386;112;240;34;309;111;178;20
"2019";">> 8265 Ukraine";"Droit de cité - total";191;46;116;29;121;19;81;21;70;27;35;8
"2019";">> 8266 Bélarus";"Droit de cité - total";31;8;18;5;19;3;12;4;12;5;6;1
"2019";">> 8271 Jersey";"Droit de cité - total";147;29;94;24;71;15;47;9;76;14;47;15
"2019";">> 8272 Guernesey";"Droit de cité - total";75;12;40;23;30;4;17;9;45;8;23;14
"2019";">> 8273 Svalbard et Île Jan Mayen";"Droit de cité - total";7;0;7;0;4;0;4;0;3;0;3;0
"2019";">> 8274 Îles d'Aland";"Droit de cité - total";19;5;11;3;8;2;6;0;11;3;5;3
"2019";"- Afrique";"Droit de cité - total";19751;4886;10141;4724;9488;2510;4639;2339;10263;2376;5502;2385
"2019";">> 8301 Guinée équatoriale";"Droit de cité - total";7;2;5;0;6;2;4;0;1;0;1;0
"2019";">> 8302 Éthiopie";"Droit de cité - total";221;89;110;22;114;48;55;11;107;41;55;11
"2019";">> 8303 Djibouti";"Droit de cité - total";6;0;4;2;1;0;0;1;5;0;4;1
"2019";">> 8304 Algérie";"Droit de cité - total";415;182;163;70;221;88;88;45;194;94;75;25
"2019";">> 8305 Angola";"Droit de cité - total";98;35;54;9;53;20;27;6;45;15;27;3
"2019";">> 8307 Botswana";"Droit de cité - total";58;13;33;12;30;7;17;6;28;6;16;6
"2019";">> 8308 Burundi";"Droit de cité - total";27;3;22;2;16;3;11;2;11;0;11;0
"2019";">> 8309 Bénin";"Droit de cité - total";67;24;33;10;30;10;13;7;37;14;20;3
"2019";">> 8310 Côte d'Ivoire";"Droit de cité - total";259;84;131;44;126;39;59;28;133;45;72;16
"2019";">> 8311 Gabon";"Droit de cité - total";29;6;16;7;17;3;10;4;12;3;6;3
"2019";">> 8312 Gambie";"Droit de cité - total";38;10;17;11;22;6;8;8;16;4;9;3
"2019";">> 8313 Ghana";"Droit de cité - total";361;98;178;85;161;45;76;40;200;53;102;45
"2019";">> 8314 Guinée-Bissau";"Droit de cité - total";11;7;2;2;5;2;1;2;6;5;1;0
"2019";">> 8315 Guinée";"Droit de cité - total";85;36;46;3;53;21;29;3;32;15;17;0
"2019";">> 8317 Cameroun";"Droit de cité - total";248;72;127;49;132;43;59;30;116;29;68;19
"2019";">> 8318 Îles Canaries";"Droit de cité - total";0;0;0;0;0;0;0;0;0;0;0;0
"2019";">> 8319 Cabo Verde";"Droit de cité - total";51;12;25;14;24;4;11;9;27;8;14;5
"2019";">> 8320 Kenya";"Droit de cité - total";797;165;379;253;373;90;164;119;424;75;215;134
"2019";">> 8321 Comores";"Droit de cité - total";11;2;9;0;4;1;3;0;7;1;6;0
"2019";">> 8322 Congo (Brazzaville)";"Droit de cité - total";22;9;10;3;9;4;3;2;13;5;7;1
"2019";">> 8323 Congo (Kinshasa)";"Droit de cité - total";167;49;103;15;94;26;59;9;73;23;44;6
"2019";">> 8324 Lesotho";"Droit de cité - total";7;2;4;1;3;0;3;0;4;2;1;1
"2019";">> 8325 Libéria";"Droit de cité - total";20;7;12;1;15;7;8;0;5;0;4;1
"2019";">> 8326 Libye";"Droit de cité - total";44;23;17;4;26;14;9;3;18;9;8;1
"2019";">> 8327 Madagascar";"Droit de cité - total";454;147;206;101;252;73;104;75;202;74;102;26
"2019";">> 8328 Madère";"Droit de cité - total";0;0;0;0;0;0;0;0;0;0;0;0
"2019";">> 8329 Malawi";"Droit de cité - total";40;17;19;4;18;9;8;1;22;8;11;3
"2019";">> 8330 Mali";"Droit de cité - total";69;16;47;6;32;9;20;3;37;7;27;3
"2019";">> 8331 Maroc";"Droit de cité - total";1446;379;701;366;686;181;307;198;760;198;394;168
"2019";">> 8332 Mauritanie";"Droit de cité - total";14;4;7;3;5;2;2;1;9;2;5;2
"2019";">> 8333 Maurice";"Droit de cité - total";703;118;369;216;345;68;161;116;358;50;208;100
"2019";">> 8334 Mozambique";"Droit de cité - total";144;51;80;13;86;29;50;7;58;22;30;6
"2019";">> 8335 Niger";"Droit de cité - total";35;13;18;4;15;5;8;2;20;8;10;2
"2019";">> 8336 Nigéria";"Droit de cité - total";222;86;110;26;116;41;59;16;106;45;51;10
"2019";">> 8337 Burkina Faso";"Droit de cité - total";82;28;41;13;41;14;19;8;41;14;22;5
"2019";">> 8339 Réunion";"Droit de cité - total";394;94;243;57;189;49;113;27;205;45;130;30
"2019";">> 8340 Zimbabwe";"Droit de cité - total";185;35;80;70;90;19;36;35;95;16;44;35
"2019";">> 8341 Rwanda";"Droit de cité - total";115;33;63;19;58;18;29;11;57;15;34;8
"2019";">> 8343 Zambie";"Droit de cité - total";114;35;66;13;56;21;27;8;58;14;39;5
"2019";">> 8344 Sao Tomé-et-Principe";"Droit de cité - total";1;0;1;0;1;0;1;0;0;0;0;0
"2019";">> 8345 Sénégal";"Droit de cité - total";378;150;172;56;200;84;83;33;178;66;89;23
"2019";">> 8346 Seychelles";"Droit de cité - total";108;20;62;26;38;8;21;9;70;12;41;17
"2019";">> 8347 Sierra Leone";"Droit de cité - total";12;2;7;3;6;2;2;2;6;0;5;1
"2019";">> 8348 Somalie";"Droit de cité - total";23;12;10;1;15;9;5;1;8;3;5;0
"2019";">> 8349 Afrique du Sud";"Droit de cité - total";8403;1568;4486;2349;3897;800;2043;1054;4506;768;2443;1295
"2019";">> 8350 Soudan";"Droit de cité - total";45;12;30;3;22;6;15;1;23;6;15;2
"2019";">> 8351 Namibie";"Droit de cité - total";303;64;154;85;150;37;76;37;153;27;78;48
"2019";">> 8352 Eswatini";"Droit de cité - total";27;3;16;8;15;3;6;6;12;0;10;2
"2019";">> 8353 Tanzanie";"Droit de cité - total";255;71;135;49;142;37;76;29;113;34;59;20
"2019";">> 8354 Togo";"Droit de cité - total";103;28;52;23;57;17;27;13;46;11;25;10
"2019";">> 8356 Tchad";"Droit de cité - total";36;9;24;3;21;6;13;2;15;3;11;1
"2019";">> 8357 Tunisie";"Droit de cité - total";1457;505;619;333;706;255;276;175;751;250;343;158
"2019";">> 8358 Ouganda";"Droit de cité - total";110;35;57;18;65;19;31;15;45;16;26;3
"2019";">> 8359 Égypte";"Droit de cité - total";1362;404;725;233;601;199;284;118;761;205;441;115
"2019";">> 8360 République centrafricaine";"Droit de cité - total";10;0;10;0;6;0;6;0;4;0;4;0
"2019";">> 8361 Mayotte";"Droit de cité - total";27;14;13;0;13;6;7;0;14;8;6;0
